@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data
52000,23999,2007,225,0,1,0,1
178000,23900,2010,180,0,0,1,1
109000,650,1996,76,0,0,0,0
190000,3599,2000,110,0,1,1,0
152632,6899,2005,120,0,0,1,1
223000,19000,2008,173,0,1,1,1
198115,22500,2010,180,1,1,1,1
93396,5299,2001,87,0,1,0,0
225,550,1988,85,0,1,1,0
201600,3599,2002,85,0,0,0,0
175000,10500,2005,110,1,1,1,0
230000,1350,1995,110,0,1,1,0
161003,10500,2005,110,0,1,1,0
220000,2000,1991,110,0,1,1,0
124000,15000,2005,200,0,0,1,1
159000,6200,2002,105,1,1,0,0
300000,1000,1991,111,1,0,1,0
249000,2150,1998,105,0,1,1,1
174000,3590,2001,100,0,1,1,0
330000,3000,2000,77,0,1,1,0
161000,10800,2006,110,0,0,1,0
262656,1650,1992,85,1,0,1,0
228400,3990,2003,110,0,1,1,1
226000,7770,2004,147,1,1,0,0
207000,4300,2001,87,0,1,1,0
163000,3900,2001,100,1,1,1,0
227000,3400,2002,105,0,1,1,0
221751,10599,2008,100,1,1,1,0
330000,1100,1988,110,1,1,1,0
290000,900,1989,125,0,1,1,0
223000,1549,1989,84,0,1,1,0
300000,1600,1997,75,0,1,0,0
310000,4000,2002,120,1,1,1,0
300000,2999,2000,87,0,1,1,0
300000,2500,1997,105,0,0,1,0
172,5900,2004,85,0,1,1,0
170000,3300,2001,85,0,1,0,0
167000,3900,2001,100,0,1,1,1
190000,6800,2005,120,0,1,1,0
315000,1600,1993,83,0,0,1,0
220000,8000,2004,130,0,1,1,0
300000,3500,2000,105,1,0,1,1
50797,32500,2011,135,0,1,1,1
122000,31500,2008,225,0,1,1,1
180000,4200,2003,105,0,1,0,0
250000,3800,2001,87,1,1,1,0
278033,1500,1990,85,1,1,1,0
220000,7700,2002,135,0,1,1,1
12345,350,1988,85,0,1,1,0
185000,7490,2004,130,0,1,1,0
236000,4950,2003,110,1,1,1,0
290,2200,1992,140,0,1,0,0
198000,2999,2000,95,0,1,1,0
157444,2500,2002,85,1,1,0,0
201200,13000,2006,200,0,1,1,1
168580,2050,1997,125,0,1,1,0
249000,8700,2004,105,0,1,0,0
230000,3000,2003,146,0,1,1,0
210000,1000,1991,87,1,1,1,0
144000,2800,1992,95,0,1,0,0
278000,950,1988,92,0,0,1,0
238000,3000,2000,110,0,1,1,0
250000,700,1999,105,0,1,0,0
169000,11900,2005,150,0,0,1,1
170000,10600,2006,120,1,0,1,1
220000,6000,1996,179,1,1,0,0
192000,8750,2005,221,0,0,1,0
232500,2850,1996,110,0,1,1,0
210000,4300,2002,85,1,1,1,0
146000,15500,2009,120,0,1,1,0
184357,4900,2003,110,1,1,1,0
131000,29900,2011,135,0,1,1,1
193000,8950,2007,90,0,1,1,0
203000,4199,2002,110,0,1,1,0
234000,3800,2001,100,0,1,1,0
107338,18200,2010,130,0,1,1,1
230000,4800,2003,105,0,0,1,0
281200,1800,1997,110,0,1,0,1
215963,8499,2004,130,0,0,1,0
230000,3100,1998,110,1,1,1,0
176000,8700,2005,129,0,1,1,0
240000,7100,2003,125,0,1,1,0
210,4100,2003,105,0,1,0,0
175985,2000,2003,125,0,1,1,0
210558,2200,1995,85,0,1,1,0
230000,999,1988,92,0,1,1,0
1,1800,2000,1,0,0,1,0
206000,4750,2002,100,0,1,1,0
226000,4950,2003,85,0,0,1,0
430580,2500,1994,110,0,1,1,0
295000,1800,1992,73,0,1,1,0
123,1700,1998,105,1,1,1,0
24942,85900,2014,190,0,1,1,1
195000,7690,2005,110,0,1,1,0
202000,4699,2003,85,1,1,1,0
186132,26950,2012,135,0,0,1,1
162000,4250,2002,85,0,1,1,0
230000,3590,2001,87,0,1,1,0
250000,4450,2002,100,0,1,1,0
106000,23500,2010,135,0,1,1,1
189700,6890,2006,92,0,1,1,0
189000,7899,2005,125,1,1,1,0
176000,10500,2005,110,0,1,1,0
121000,11450,2007,130,0,0,1,0
179000,16950,2012,105,1,0,1,1
100000,20500,2009,225,1,1,0,1
158000,21000,2008,261,0,1,1,1
185000,4100,2003,111,0,1,1,0
125000,7200,2006,85,1,1,1,0
293000,2500,1998,86,0,1,1,0
154000,1550,2001,140,1,1,0,0
196000,11900,2006,120,0,1,1,1
205000,5200,2003,110,1,1,1,0
209000,9900,2006,120,1,1,1,1
160000,18900,2008,169,0,1,1,1
173000,8200,2009,85,0,1,1,0
130000,28900,2011,120,0,1,1,1
230000,2400,1998,94,0,1,1,0
191400,4999,2004,85,1,1,1,0
198546,4950,2002,105,0,1,0,0
119000,22500,2007,173,1,1,1,1
200500,2000,2000,100,0,1,1,0
278500,3550,2001,100,0,0,1,0
185000,3900,2000,100,1,0,1,0
240000,3650,2001,74,0,1,1,0
230000,1200,1995,95,0,1,1,0
173000,6800,2006,90,0,1,1,0
205000,4850,2001,125,1,1,0,0
280000,4999,2005,85,0,1,1,0
196000,7999,2005,120,0,0,1,0
295000,1600,1994,76,0,0,0,0
150000,5000,2002,110,0,1,1,0
235023,10000,2008,100,0,1,1,0
255000,3100,1997,110,0,1,1,0
76543,8000,1999,148,0,1,0,1
160000,10800,2005,120,0,1,1,1
148000,7599,2005,120,0,1,1,0
222000,3000,2000,125,0,1,1,0
126292,6650,2005,85,0,1,1,0
157195,10850,2008,130,0,1,1,1
171000,22800,2008,173,1,0,1,0
163000,11600,2007,130,0,0,1,0
1,21500,2010,135,0,1,1,1
81620,31990,2010,180,0,0,1,1
198000,9200,2004,160,1,1,1,1
95000,5000,2002,125,1,1,1,1
282000,2000,1996,66,0,0,0,0
290000,3000,2003,110,0,1,1,0
203000,3300,2002,105,0,1,0,0
160000,9700,2010,105,0,1,1,0
270154,2700,1999,100,0,1,1,0
314000,3200,1999,100,0,1,1,0
148860,36000,2009,300,0,1,1,1
245000,1200,1988,60,0,1,1,0
168798,4250,2003,110,1,1,1,0
185000,8300,2007,105,1,1,0,0
144000,3999,2002,110,0,1,1,0
235000,1100,1993,83,0,0,1,0
322000,1350,1990,93,1,1,1,0
